site_nr,plot_nr,date,site_cat,plot_rep,avg_height,sp_common,sp_latin,sp_comments,sp_group
1,2,8/8/22,4S,2,11.6,red-stemmed feathermoss,Pleurozium schreberi,väggmossa,moss
1,2,8/8/22,4S,2,11.6,arctic starflower,Lysimachia europaea,"reddish, has leaves, see photo, skogsstjärna",herb
1,2,8/8/22,4S,2,11.6,bog bilberry,Vaccinium uliginosum,"barky, rounder green leaves, berries, odon",shrub
1,2,8/8/22,4S,2,11.6,tussock grass,Deschampsia cespitosa,"unknown curved red grass, curved top, see photos",grass
1,2,8/8/22,4S,2,11.6,highland rush,Juncus trifidus ,klynnetåg,grass
1,2,8/8/22,4S,2,11.6,alpine bearberry,Arctostaphylos alpina,,shrub
1,3,8/8/22,4S,3,9.4,cloudberry,Rubus chamaemorus,,herb
1,3,8/8/22,4S,3,9.4,dwarf birch,Betula nana,,shrub
1,3,8/8/22,4S,3,9.4,crowberry ,Empetrum nigrum ssp. hermaphroditum,,shrub
1,3,8/8/22,4S,3,9.4,reindeer lichen ,Cladonia rangiferina,,lichen
1,3,8/8/22,4S,3,9.4,stiff clubmoss,Lycopodium annotinum,,moss
1,3,8/8/22,4S,3,9.4,broom forkmoss,Dicranum scoparium,see photos,moss
1,3,8/8/22,4S,3,9.4,blueberry,Vaccinium myrtillus,,shrub
1,3,8/8/22,4S,3,9.4,finger cup lichen,Cladonia digitata,,lichen
1,3,8/8/22,4S,3,9.4,snow lichen,Stereocaulon sp. ,,lichen
1,3,8/8/22,4S,3,9.4,Bigelow's sedge,Carex bigelowii,,grass
1,3,8/8/22,4S,3,9.4,,Tritomaria quinquedentata,possible it's a Barbilophozia species instead,moss
1,3,8/8/22,4S,3,9.4,bog bilberry,Vaccinium uliginosum,,shrub
1,3,8/8/22,4S,3,9.4,arctic starflower,Lysimachia europaea,red leaves,herb
1,3,8/8/22,4S,3,9.4,highland rush,Juncus trifidus,,grass
2,4,8/8/22,5S,1,6.4,dwarf birch,Betula nana ,,shrub
2,4,8/8/22,5S,1,6.4,blueberry,Vaccinium myrtillus,,shrub
2,4,8/8/22,5S,1,6.4,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
2,4,8/8/22,5S,1,6.4,reindeer lichen ,Cladonia rangiferina,,lichen
2,4,8/8/22,5S,1,6.4,Bigelow's sedge,Carex bigelowii,,grass
2,4,8/8/22,5S,1,6.4,red-stemmed feathermoss,Pleurozium schereberi,,moss
2,4,8/8/22,5S,1,6.4,green dog lichen,Peltigera aphthosa,"real, torsklav",lichen
2,4,8/8/22,5S,1,6.4,highland rush,Juncus trifidus,,grass
2,4,8/8/22,5S,1,6.4,tussock grass,Deschampsia cespitosa,"same as 4S(1) plot 2, includes smal-bladigt gräs",grass
2,5,8/8/22,5S,2,3,alpine bearberry,Arctostaphylos alpina,ripbär,shrub
2,5,8/8/22,5S,2,3,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
2,5,8/8/22,5S,2,3,highland rush,Juncus trifidus,,grass
2,5,8/8/22,5S,2,3,lingonberry,Vaccinium vitis-idaea,,shrub
2,5,8/8/22,5S,2,3,reindeer lichen ,Cladonia rangiferina,,lichen
2,5,8/8/22,5S,2,3,lesser sulphur cup lichen,Cladonia deformis,"says bergskog, so maybe not right",lichen
2,5,8/8/22,5S,2,3,bog bilberry,Vaxinium uliginosum ,odon,shrub
2,5,8/8/22,5S,2,3,stiff clubmoss,Lycopodium annotinum,,herb
2,5,8/8/22,5S,2,3,snow lichen,Stereocaulon sp.,,lichen
2,5,8/8/22,5S,2,3,alpine kidney lichen,Nephroma expallidum,"underside more red than black, but seems good",lichen
2,5,8/8/22,5S,2,3,arctic kidney lichen,Nephroma arcticum,norrlandslav,lichen
2,5,8/8/22,5S,2,3,Bigelow's sedge,Carex bigelowii,broad-leaved grass,grass
2,5,8/8/22,5S,2,3,broom forkmoss,Dicranum scoparium,,moss
2,6,8/8/22,5S,3,2.4,reindeer lichen ,Cladonia rangiferina,a lot of this on bare ground ,lichen
2,6,8/8/22,5S,3,2.4,lingonberry,Vaccinium vitis-idaea,,shrub
2,6,8/8/22,5S,3,2.4,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
2,6,8/8/22,5S,3,2.4,highland rush,Juncus trifidus,,grass
2,6,8/8/22,5S,3,2.4,snow lichen,Stereocaulon sp.,,lichen
2,6,8/8/22,5S,3,2.4,dwarf birch,Betula nana,,shrub
2,6,8/8/22,5S,3,2.4,blueberry,Vaccinium myrtillus,,shrub
2,6,8/8/22,5S,3,2.4,broom forkmoss,Dicranum scoparium,"very tightly packed, grows upwards, brown into green at top, might be instead of R. fasciculare, have probably had at other sites",moss
3,7,8/8/22,4S,1,2.8,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
3,7,8/8/22,4S,1,2.8,dwarf birch,Betula nana,,shrub
3,7,8/8/22,4S,1,2.8,stiff clubmoss,Lycopodium annotinum,,herb
3,7,8/8/22,4S,1,2.8,lingonberry,Vaccinium vitis-idaea,,shrub
3,7,8/8/22,4S,1,2.8,reindeer lichen ,Cladonia rangiferina,,lichen
3,7,8/8/22,4S,1,2.8,broom forkmoss,Dicranum scoparium,from 5S(1) plot 3,moss
3,7,8/8/22,4S,1,2.8,lesser sulphur cup lichen,Cladonia deformis,,lichen
3,7,8/8/22,4S,1,2.8,highland rush,Juncus trifidus,,grass
3,7,8/8/22,4S,1,2.8,wavy hair-grass,Deschampsia flexuosa,,grass
3,7,8/8/22,4S,1,2.8,crinkled snow lichen,Flavocetraria nivalis,"white, on branches but also ground, see photos, also called Cetraria nivalis",lichen
3,8,8/8/22,4S,2,2.2,dwarf birch,Betula nana,,shrub
3,8,8/8/22,4S,2,2.2,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
3,8,8/8/22,4S,2,2.2,lingonberry,Vaccinium vitis-idaea,,shrub
3,8,8/8/22,4S,2,2.2,stiff clubmoss,Lycopodium annotinum,,herb
3,8,8/8/22,4S,2,2.2,reindeer lichen ,Cladonia rangiferina,,lichen
3,8,8/8/22,4S,2,2.2,highland rush,Juncus trifidus,,grass
3,8,8/8/22,4S,2,2.2,broom forkmoss,Dicranum scoparium,from 5S(1) plot 3,moss
3,8,8/8/22,4S,2,2.2,crinkled snow lichen,Flavocetraria nivalis,"from 4S(2) plot 1, white/cream color",lichen
3,8,8/8/22,4S,2,2.2,lesser sulphur cup lichen,Cladonia deformis,,lichen
3,8,8/8/22,4S,2,2.2,arctic saucer lichen,Ochrolechia frigida,more grey,lichen
3,8,8/8/22,4S,2,2.2,arctic haircap moss,Polytrichum hyperboreum,see photos,moss
3,9,8/8/22,4S,3,2.2,dwarf birch,Betula nana,,shrub
3,9,8/8/22,4S,3,2.2,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
3,9,8/8/22,4S,3,2.2,lingonberry,Vaccinium vitis-idaea,,shrub
3,9,8/8/22,4S,3,2.2,reindeer lichen ,Cladonia rangiferina,,lichen
3,9,8/8/22,4S,3,2.2,highland rush,Juncus trifidus,,grass
3,9,8/8/22,4S,3,2.2,tussock grass,Deschampsia cespitosa,"from previous sites, like kruståtel but more curved narrow top",grass
3,9,8/8/22,4S,3,2.2,crinkled snow lichen,Flavocetraria nivalis,also known as Cetraria nivalis,lichen
3,9,8/8/22,4S,3,2.2,stiff clubmoss,Lycopodium annotinum,,herb
3,9,8/8/22,4S,3,2.2,broom forkmoss,Dicranum scoparium,"feathery, from 4S(2) plot 2",moss
3,9,8/8/22,4S,3,2.2,snow lichen,Stereocaulon sp.,,lichen
3,9,8/8/22,4S,3,2.2,lesser sulphur cup lichen,Cladonia deformis,,lichen
3,9,8/8/22,4S,3,2.2,arctic haircap moss,Polytrichum hyperboreum,"also in 4S(2) plot 2, reddish tall shoot, very short spikey base, see photo",moss
3,9,8/8/22,4S,3,2.2,bog bilberry,Vaccinium uliginosum,,shrub
4,10,8/8/22,3S,1,1,dwarf birch,Betula nana,,shrub
4,10,8/8/22,3S,1,1,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
4,10,8/8/22,3S,1,1,stiff clubmoss,Lycopodium annotinum,,herb
4,10,8/8/22,3S,1,1,lesser sulphur cup lichen,Cladonia deformis,,lichen
4,10,8/8/22,3S,1,1,reindeer lichen ,Cladonia rangiferina,,lichen
4,10,8/8/22,3S,1,1,crinkled snow lichen,Flavocetraria nivalis,cream one,lichen
4,10,8/8/22,3S,1,1,arctic saucer lichen,Ochrolechia frigida,"grey one, pretty crust-like but has strands",lichen
4,10,8/8/22,3S,1,1,arctic haircap moss,Polytrichum hyperboreum,,moss
4,10,8/8/22,3S,1,1,snow lichen,Stereocaulon sp.,,lichen
4,10,8/8/22,3S,1,1,lingonberry,Vaccinium vitis-idaea,,shrub
4,10,8/8/22,3S,1,1,highland rush,Juncus trifidus,,grass
4,10,8/8/22,3S,1,1,broom forkmoss,Dicranum scoparium,the feathery one,moss
4,10,8/8/22,3S,1,1,purple moor-grass,Molinia caerulea,blåtåtel,grass
4,11,8/8/22,3S,2,2.4,lingonberry,Vaccinium vitis-idaea,,shrub
4,11,8/8/22,3S,2,2.4,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
4,11,8/8/22,3S,2,2.4,dwarf birch,Betula nana,,shrub
4,11,8/8/22,3S,2,2.4,crinkled snow lichen,Flavocetraria nivalis,,lichen
4,11,8/8/22,3S,2,2.4,arctic saucer lichen,Ochrolechia frigida,,lichen
4,11,8/8/22,3S,2,2.4,toy soldiers cup lichen,Cladonia bellidiflora,,lichen
4,11,8/8/22,3S,2,2.4,arctic haircap moss,Polytrichum hyperboreum,"has shoots, double check, what I thought was dvärgbjörnmossa",moss
4,11,8/8/22,3S,2,2.4,reindeer lichen ,Cladonia rangiferina,,lichen
4,11,8/8/22,3S,2,2.4,lesser sulphur cup lichen,Cladonia deformis,,lichen
4,11,8/8/22,3S,2,2.4,highland rush,Juncus trifidus,,grass
4,11,8/8/22,3S,2,2.4,Bigelow's sedge,Carex bigelowii,"see photo, probably Carex leaves",grass
4,12,8/8/22,3S,3,2.2,alpine bearberry,Arctostaphylos alpina,,shrub
4,12,8/8/22,3S,3,2.2,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
4,12,8/8/22,3S,3,2.2,dwarf birch,Betula nana,,shrub
4,12,8/8/22,3S,3,2.2,highland rush,Juncus trifidus,,grass
4,12,8/8/22,3S,3,2.2,arctic haircap moss,Polytrichum hyperboreum,was dvärgbjörnmossa,moss
4,12,8/8/22,3S,3,2.2,crinkled snow lichen,Flavocetraria nivalis,,lichen
4,12,8/8/22,3S,3,2.2,snow lichen,Stereocaulon sp.,,lichen
4,12,8/8/22,3S,3,2.2,reindeer lichen ,Cladonia rangiferina,,lichen
4,12,8/8/22,3S,3,2.2,Bigelow's sedge,Carex bigelowii,"in a tuff, inner grass is green and outer is white/drier, could be a Carex sp. ",grass
4,12,8/8/22,3S,3,2.2,lingonberry,Vaccinium vitis-idaea,,shrub
4,12,8/8/22,3S,3,2.2,lesser sulphur cup lichen,Cladonia deformis ,,lichen
4,12,8/8/22,3S,3,2.2,broom forkmoss,Dicranum scoparium,,moss
5,13,9/8/22,1S,1,0.5,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
5,13,9/8/22,1S,1,0.5,reindeer lichen ,Cladonia rangiferina,,lichen
5,13,9/8/22,1S,1,0.5,lingonberry,Vaccinium vitis-idaea,,shrub
5,13,9/8/22,1S,1,0.5,dwarf birch,Betula nana,,shrub
5,13,9/8/22,1S,1,0.5,moss bell heather,Harrimanella hypnoides,"red shoots with big tops, hard almost, creeping, see photos",shrub
5,13,9/8/22,1S,1,0.5,alpine catsfoot,Antennaria alpina,"was gaissakattfot before, but that's a rare species, could also be Antennaria dioica, fjällkatfot",shrub
5,13,9/8/22,1S,1,0.5,bog bilberry,Vaccinium uliginosum,,shrub
5,13,9/8/22,1S,1,0.5,hawkweed,Pilocella sp. ,"fibbla, yellow flower, pretty dead, hard to ID",herb
5,13,9/8/22,1S,1,0.5,snow lichen,Stereocaulon sp.,,lichen
5,13,9/8/22,1S,1,0.5,5-fingered unknown leaf,Ranunculus recurvatus?,"5-fingered leaf, see photo",herb
5,13,9/8/22,1S,1,0.5,alpine foam lichen,Stereocaulon alpinum ,"very close to ground, fluffy, grey white, maybe in some previous plots",lichen
5,13,9/8/22,1S,1,0.5,finger cup lichen,Cladonia digitata,,lichen
5,13,9/8/22,1S,1,0.5,,Lobaria linita,"brown/olive, ruffly low lichen, see photos taken earlier",lichen
5,13,9/8/22,1S,1,0.5,alpine bistort,Bistorta vivipara,ormrot,herb
5,13,9/8/22,1S,1,0.5,arctic kidney lichen,Nephroma arcticum,"greenish top, white under",lichen
5,13,9/8/22,1S,1,0.5,goldenrod,Solidago virgaurea ssp. lapponica,"see photo, lappgullris",herb
5,13,9/8/22,1S,1,0.5,arctic saucer lichen,Ochrolechia frigida,"white with round circles with orange inside, ochrolechia sp.?",lichen
5,13,9/8/22,1S,1,0.5,tussock grass,Deschampsia cespitosa,,grass
5,13,9/8/22,1S,1,0.5,Bigelow's sedge,Carex bigelowii,"all previous broad-leaved grass = Carex, Bigelow's sedge probably ",grass
5,13,9/8/22,1S,1,0.5,alpine bartsia,Bartsia alpina,"see photos, finished blooming, purple-brown-green leaves, is svarthö, like (pretend it's vertical) -|-|-|-",herb
5,13,9/8/22,1S,1,0.5,,Anthoxanthum nipponicum,"tan, no leaves really, wheaty at top, see photo, nordvårbrodd",grass
5,14,9/8/22,1S,2,2.9,alpine catsfoot,Antennaria alpina,,herb
5,14,9/8/22,1S,2,2.9,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
5,14,9/8/22,1S,2,2.9,5-fingered unknown leaf,Ranunculus recurvatus?,same as plot 1 ,herb
5,14,9/8/22,1S,2,2.9,alpine bistort,Bistorta vivipara,,herb
5,14,9/8/22,1S,2,2.9,hawkweed,Pilocello sp.,,herb
5,14,9/8/22,1S,2,2.9,snow lichen,Stereocaulon sp.,,lichen
5,14,9/8/22,1S,2,2.9,highland rush,Juncus trifidus,,grass
5,14,9/8/22,1S,2,2.9,reindeer lichen ,Cladonia rangiferina,,lichen
5,14,9/8/22,1S,2,2.9,bog bilberry,Vaccinium uliginosum,,shrub
5,14,9/8/22,1S,2,2.9,purple mountain heather,Phyllodoce caerulea,,shrub
5,14,9/8/22,1S,2,2.9,moss bell heather,Harrimanella hypnoides,from 1S(1) plot 1,shrub
5,14,9/8/22,1S,2,2.9,crinkled snow lichen,Flavocetraria nivalis,,lichen
5,14,9/8/22,1S,2,2.9,alpine kidney lichen,Nephroma expallidum,,lichen
5,14,9/8/22,1S,2,2.9,marsh grass of Parnassus,Parnassia palutris,slotterblomma ,herb
5,14,9/8/22,1S,2,2.9,alpine bartsia,Bartsia alpina,"same in 1S(1) plot 1, svarthö",herb
5,14,9/8/22,1S,2,2.9,alpine foam lichen,Stereocaulon alpinum,,lichen
5,14,9/8/22,1S,2,2.9,orange chocolate chip lichen,Solorina crocea,,lichen
5,14,9/8/22,1S,2,2.9,arctic kidney lichen,Nephroma arcticum,,lichen
5,14,9/8/22,1S,2,2.9,wavy hair-grass,Deschampsia flexuosa,includes smal-bladigt gräs,grass
5,14,9/8/22,1S,2,2.9,viviparous sheep's-fescue,Festuca vivipara ssp. vivipara,,grass
5,14,9/8/22,1S,2,2.9,Scottish asphodel,Tofieldia pusilla ,"see photos, flat leaves, was björnbrodd",herb
5,14,9/8/22,1S,2,2.9,arctic yellow violet,Viola biflora,"no flowers, just leaves, but leaves are very similar to this",herb
5,14,9/8/22,1S,2,2.9,lesser sulphur cup lichen,Cladonia deformis,,lichen
5,15,9/8/22,1S,3,2.1,alpine catsfoot,Antennaria alpina,,herb
5,15,9/8/22,1S,3,2.1,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
5,15,9/8/22,1S,3,2.1,alpine bistort,Bistorta vivipara,,herb
5,15,9/8/22,1S,3,2.1,hawkweed,Pilocella sp. ,,herb
5,15,9/8/22,1S,3,2.1,lingonberry,Vaccinium vitis-idaea,,shrub
5,15,9/8/22,1S,3,2.1,unknown 5-fingered leaf,,,herb
5,15,9/8/22,1S,3,2.1,reindeer lichen ,Cladonia rangiferina,,lichen
5,15,9/8/22,1S,3,2.1,viviparous sheep's-fescue,Festuca vivipara ssp. vivipara,vanlig groddsvingel,grass
5,15,9/8/22,1S,3,2.1,,Anthoxanthum nipponicum,"like plot 1, grass",grass
5,15,9/8/22,1S,3,2.1,snow lichen,Stereocaulon sp.,,lichen
5,15,9/8/22,1S,3,2.1,moss bell heather,Harrimanella hypnoides,from plot 1,shrub
5,15,9/8/22,1S,3,2.1,,Lobaria linita,"quite green, a bit lunglav-ish, not sold though",lichen
5,15,9/8/22,1S,3,2.1,broom forkmoss,Dicranum scoparium,see photos,moss
5,15,9/8/22,1S,3,2.1,highland rush,Juncus trifidus,,grass
5,15,9/8/22,1S,3,2.1,arctic kidney lichen,Nephroma arcticum,,lichen
5,15,9/8/22,1S,3,2.1,lesser sulphur cup lichen,Cladonia deformis ,,lichen
5,15,9/8/22,1S,3,2.1,russet sedge,Carex saxatilis,glansstarr,grass
5,15,9/8/22,1S,3,2.1,arctic yellow violet,Viola biflora,"again no flowers, just leaves, fjällviol, also called alpine yellow violet",herb
6,16,9/8/22,2S,1,1,orange chocolate chip lichen,Solorina crocea,,lichen
6,16,9/8/22,2S,1,1,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
6,16,9/8/22,2S,1,1,dwarf birch,Betula nana,,shrub
6,16,9/8/22,2S,1,1,reindeer lichen ,Cladonia rangiferina,,lichen
6,16,9/8/22,2S,1,1,arctic haircap moss,Polytrichum hyperboreum,thought it was dvärgbjörnmossa,moss
6,16,9/8/22,2S,1,1,common haircap moss,Polytrichum commune,björnmossa,moss
6,16,9/8/22,2S,1,1,Bigelow's sedge,Carex bigelowii,,grass
6,16,9/8/22,2S,1,1,broom forkmoss,Dicranum scoparium,,moss
6,16,9/8/22,2S,1,1,crinkled snow lichen,Flavocetraria nivalis,,lichen
6,16,9/8/22,2S,1,1,purple mountain-heath,Phyllodoce caerulea,"red tips and red large shoots, see photos, purple mountain heather ",shrub
6,16,9/8/22,2S,1,1,toy soldiers cup lichen,Cladonia bellidiflora,,lichen
6,16,9/8/22,2S,1,1,,Tritomaria quinquedentata,could be Barbilophozia species instead,moss
6,16,9/8/22,2S,1,1,snow lichen,Stereocaulon sp.,,lichen
6,16,9/8/22,2S,1,1,moss bell heather,Harrimanella hypnoides,same as 1S(1) plot 1,shrub
6,16,9/8/22,2S,1,1,lingonberry,Vaccinium vitis-idaea,,shrub
6,16,9/8/22,2S,1,1,madame's cup lichen,Cladonia coccifera,,lichen
6,16,9/8/22,2S,1,1,finger cup lichen,Cladonia digitata,,lichen
6,16,9/8/22,2S,1,1,alpine foam lichen,Stereocaulon alpinum,,lichen
6,16,9/8/22,2S,1,1,Lapland lousewort,Pedicularis lapponica,"flowers or leaves like <O, probably done flowering, purple, see photos, is lappspira",herb
6,17,9/8/22,2S,2,3.8,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
6,17,9/8/22,2S,2,3.8,crinkled snow lichen,Flavocetraria nivalis,,lichen
6,17,9/8/22,2S,2,3.8,dwarf birch,Betula nana,,shrub
6,17,9/8/22,2S,2,3.8,highland rush,Juncus trifidus,,grass
6,17,9/8/22,2S,2,3.8,orange chocolate chip lichen,Solorina crocea,,lichen
6,17,9/8/22,2S,2,3.8,tussock grass,Deschampsia cespitosa,"dead brown and white tuffs of thin grass, could be Eriophorum vaginatum but haven't put that anywhere else",grass
6,17,9/8/22,2S,2,3.8,reindeer lichen ,Cladonia rangiferina,,lichen
6,17,9/8/22,2S,2,3.8,lingonberry,Vaccinium vitis-idaea,,shrub
6,17,9/8/22,2S,2,3.8,Bigelow's sedge,Carex bigelowii,,grass
6,17,9/8/22,2S,2,3.8,blueberry,Vaccinium myrtillus,,shrub
6,17,9/8/22,2S,2,3.8,snow lichen,Stereocaulon sp.,,lichen
6,17,9/8/22,2S,2,3.8,alpine foam lichen,Stereocaulon alpinum,,lichen
6,17,9/8/22,2S,2,3.8,lesser sulphur cup lichen,Cladonia deformis,,lichen
6,17,9/8/22,2S,2,3.8,purple mountain heather,Phyllodoce caerulea,,shrub
6,17,9/8/22,2S,2,3.8,moss bell heather,Harrimanella hypnoides,,shrub
6,17,9/8/22,2S,2,3.8,arctic kidney lichen,Nephroma arcticum,,lichen
6,17,9/8/22,2S,2,3.8,arctic haircap moss,Polytrichum hyperboreum,,moss
6,17,9/8/22,2S,2,3.8,bog bilberry,Vaccinium uliginosum,,shrub
6,17,9/8/22,2S,2,3.8,broom forkmoss,Dicranum scoparium,,moss
6,18,9/8/22,2S,3,6.2,dwarf birch,Betula nana,,shrub
6,18,9/8/22,2S,3,6.2,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
6,18,9/8/22,2S,3,6.2,blueberry,Vaccinium myrtillus,,shrub
6,18,9/8/22,2S,3,6.2,highland rush,Juncus trifidus,,grass
6,18,9/8/22,2S,3,6.2,reindeer lichen ,Cladonia rangiferina,,lichen
6,18,9/8/22,2S,3,6.2,arctic haircap moss,Polytrichum hyperboreum,,moss
6,18,9/8/22,2S,3,6.2,bog bilberry,Vaccinium uliginosum,,shrub
6,18,9/8/22,2S,3,6.2,broom forkmoss,Dicranum scoparium,,moss
6,18,9/8/22,2S,3,6.2,horsetail,Equisetum arvense ssp. alpestre,krypfräken,herb
6,18,9/8/22,2S,3,6.2,Bigelow's sedge,Carex bigelowii,,grass
6,18,9/8/22,2S,3,6.2,northern firmoss ,Huperzia selago ssp. arctica,was groddlummer,herb
6,18,9/8/22,2S,3,6.2,,Tritomaria quinquedentata ,,moss
6,18,9/8/22,2S,3,6.2,toy soldiers cup lichen,Cladonia bellidiflora ,,lichen
6,18,9/8/22,2S,3,6.2,wavy hair-grass,Deschampsia flexuosa,,grass
7,19,9/8/22,2S,1,2.8,blueberry,Vaccinium myrtillus,,shrub
7,19,9/8/22,2S,1,2.8,highland rush,Juncus trifidus,,grass
7,19,9/8/22,2S,1,2.8,reindeer lichen ,Cladonia rangiferina,,lichen
7,19,9/8/22,2S,1,2.8,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
7,19,9/8/22,2S,1,2.8,snow lichen,Stereocaulon sp.,,lichen
7,19,9/8/22,2S,1,2.8,Bigelow's sedge,Carex bigelowii,,grass
7,19,9/8/22,2S,1,2.8,northern firmoss ,Huperzia selago ssp. arctica,,herb
7,19,9/8/22,2S,1,2.8,alpine foam lichen,Stereocaulon alpinus,,lichen
7,19,9/8/22,2S,1,2.8,broom forkmoss,Dicranum scoparium,,moss
7,19,9/8/22,2S,1,2.8,,Tritomaria quinquedentata,could also be Barbilophozia kunzeana (but B. spp. are more orange/brown),moss
7,19,9/8/22,2S,1,2.8,hawkweed,Pilocella sp. ,,herb
7,19,9/8/22,2S,1,2.8,finger cup lichen,Cladonia digitata,,lichen
7,19,9/8/22,2S,1,2.8,bearberry,Arctostaphylos uva-ursi,not ripbär but mjölon ,shrub
7,19,9/8/22,2S,1,2.8,purple mountain-heath,Phyllodoce caerulea,,shrub
7,19,9/8/22,2S,1,2.8,moss bell heather,Harrimanella hypnoides,"not sold on this sp, but have called all similar ones this",shrub
7,19,9/8/22,2S,1,2.8,alpine bearberry,Arctostaphylos alpina,,shrub
7,19,9/8/22,2S,1,2.8,alpine clubmoss,Lycopodium alpinum,also called Diphasiastrum alpinum,herb
7,19,9/8/22,2S,1,2.8,toy soldiers cup lichen,Cladonia bellidiflora,,lichen
7,19,9/8/22,2S,1,2.8,dwarf willow,Salix herbacea,"barky, cupped/folded leaves, orange ""flowers"" with hairs inside",shrub
7,20,9/8/22,2S,2,1.4,blueberry,Vaccinium myrtillus,,shrub
7,20,9/8/22,2S,2,1.4,arctic haircap moss,Polytrichum hyperboreum,,moss
7,20,9/8/22,2S,2,1.4,broom forkmoss,Dicranum scoparium,,moss
7,20,9/8/22,2S,2,1.4,reindeer lichen ,Cladonia rangiferina,,moss
7,20,9/8/22,2S,2,1.4,finger cup lichen,Cladonia digitata,,lichen
7,20,9/8/22,2S,2,1.4,toy soldiers cup lichen,Cladonia bellidiflora,,lichen
7,20,9/8/22,2S,2,1.4,goldenrod,Solidago virgaurea ssp. lapponica,,herb
7,20,9/8/22,2S,2,1.4,northern firmoss ,Huperzia selago ssp. arctica,,herb
7,20,9/8/22,2S,2,1.4,Bigelow's sedge,Carex bigelowii,,grass
7,20,9/8/22,2S,2,1.4,horsetail,Equisetum arvense ssp. alpestre,could be called field horsetail or common horsetail too (not subspecies),herb
7,20,9/8/22,2S,2,1.4,haresfoot clubmoss,Lycopodium clavatum ssp. monostachyon,was riplummer,herb
7,20,9/8/22,2S,2,1.4,purple mountain-heath,Phyllodoce caerulea,,shrub
7,20,9/8/22,2S,2,1.4,,Tritomaria quinquedentata,,moss
7,20,9/8/22,2S,2,1.4,highland rush,Juncus trifidus,,grass
7,20,9/8/22,2S,2,1.4,arctic saucer lichen,Ochrolechia frigida,lichen with growths,lichen
7,21,9/8/22,2S,3,2,alpine clubmoss,Lycopodium alpinum,,herb
7,21,9/8/22,2S,3,2,toy soldiers cup lichen,Cladonia bellidiflora,,lichen
7,21,9/8/22,2S,3,2,finger cup lichen,Cladonia digitata,,lichen
7,21,9/8/22,2S,3,2,blueberry,Vaccinium myrtillus,,shrub
